"timestep","planner","seed","seconds","utility"
32,pmc,25,1024.378,3.941810548388185
33,pmc,25,1068.628,3.5937824066296233
34,pmc,25,994.436,3.6807236932189165
35,pmc,25,1064.954,3.794813725945599
36,pmc,25,949.64,3.596289598254588
37,pmc,25,1046.393,3.5295412524123067
38,pmc,25,959.851,3.6559719556675883
39,pmc,25,1054.873,6.6765315711813855
0,pmc,23,654.893,3.0764034696253493
1,pmc,23,787.21,2.9568224967189196
2,pmc,23,821.176,2.804072664788115
3,pmc,23,913.763,3.0541940088821127
4,pmc,23,1103.729,3.1401744898882256
5,pmc,23,862.924,3.320715403437738
6,pmc,23,1011.205,3.926347429333502
7,pmc,23,987.204,4.331972623509663
8,pmc,23,915.726,4.26937963578942
9,pmc,23,1096.518,4.178014653918044
10,pmc,23,1024.553,4.256567972745589
11,pmc,23,984.111,4.512507917930717
12,pmc,23,973.194,4.7690966445330965
13,pmc,23,949.113,4.887123267821749
14,pmc,23,1083.978,5.043922300348946
15,pmc,23,984.725,5.148395048306619
16,pmc,23,1070.838,5.098505087552472
17,pmc,23,1031.124,5.235543197924384
18,pmc,23,1097.221,4.900476557756225
19,pmc,23,972.809,5.289660748582536
20,pmc,23,987.844,5.55992830997607
21,pmc,23,1003.144,5.664703939707828
22,pmc,23,1038.691,5.4550428690478965
23,pmc,23,1022.867,5.443401087302875
24,pmc,23,1033.342,5.449871847499331
25,pmc,23,1127.257,5.1475448497342065
26,pmc,23,946.905,4.8697280156687075
27,pmc,23,1259.656,4.941816146714497
28,pmc,23,980.319,5.003402046341365
29,pmc,23,990.216,4.566088369702551
30,pmc,23,1081.51,4.47342179537387
31,pmc,23,1103.031,4.138844146394822
32,pmc,23,1031.106,4.2926440594262
33,pmc,23,976.975,4.069969419918717
34,pmc,23,938.256,3.7360256897628257
35,pmc,23,1099.59,3.832028802174819
36,pmc,23,965.187,3.8642177515932175
37,pmc,23,1016.676,3.932761897581333
38,pmc,23,945.002,3.6399231234370166
39,pmc,23,1067.003,7.689830377462365
0,pmc,22,929.26,2.754662032203703
1,pmc,22,1760.243,2.7819842094783733
2,pmc,22,948.001,3.250246089365606
3,pmc,22,827.839,3.1928345661047204
4,pmc,22,1350.594,3.4468874539308203
5,pmc,22,1074.772,3.7925595289620024
6,pmc,22,942.471,3.676305861839898
7,pmc,22,1095.715,4.105714369852011
8,pmc,22,1081.05,4.414760743594092
9,pmc,22,1104.06,4.60840795975008
10,pmc,22,1059.418,4.640484736980078
11,pmc,22,1006.001,4.479899925718429
12,pmc,22,1147.559,4.587167351679181
13,pmc,22,1062.868,4.480430495356654
14,pmc,22,1278.124,4.624586709083742
15,pmc,22,1059.515,4.163710104083941
16,pmc,22,1177.636,4.153442176828331
17,pmc,22,1118.598,4.40976265256919
18,pmc,22,1058.438,4.1958873860579
19,pmc,22,1016.636,4.394472931573091
20,pmc,22,1025.278,4.373024021904044
21,pmc,22,1040.303,4.200391734697584
22,pmc,22,1052.032,4.282164585403773
23,pmc,22,964.492,4.345795536518345
24,pmc,22,1054.138,4.177858630819281
25,pmc,22,991.299,4.274709699821943
26,pmc,22,986.498,3.9724499555210615
27,pmc,22,958.944,3.7788087963112686
28,pmc,22,1346.213,3.7014455765531076
29,pmc,22,1034.965,3.6154779936991246
30,pmc,22,1037.396,3.425907203120591
31,pmc,22,1203.011,3.3664054277583753
32,pmc,22,1057.376,3.4678704143601577
33,pmc,22,1015.733,3.559221957519535
34,pmc,22,1022.964,3.6298681439338645
35,pmc,22,969.452,3.713241768404376
36,pmc,22,969.247,3.6338044919217976
37,pmc,22,948.371,3.4657248094154633
38,pmc,22,1015.461,3.228623155624998
39,pmc,22,1127.914,1.4159466717499993
0,pmc,24,631.245,4.086604586725177
1,pmc,24,773.439,4.341944289978393
2,pmc,24,824.292,4.635121687551401
3,pmc,24,1020.151,4.545848935122123
4,pmc,24,1177.026,4.369003381852282
5,pmc,24,901.086,4.584566303910334
6,pmc,24,1016.274,4.7282222182684235
7,pmc,24,1056.711,4.587200283220995
8,pmc,24,1062.597,4.7209258816689035
9,pmc,24,1196.363,4.95238236812769
10,pmc,24,1072.061,4.880724987263567
11,pmc,24,933.317,5.1796345935809835
12,pmc,24,1029.956,5.304547799410058
13,pmc,24,1021.456,5.101136837272641
14,pmc,24,991.779,4.845960253043111
15,pmc,24,947.556,4.784339413299257
16,pmc,24,1059.186,4.522361159369269
17,pmc,24,1049.426,4.9305037460342005
18,pmc,24,962.612,4.716810869966328
19,pmc,24,955.372,4.52932703319314
20,pmc,24,1045.515,4.277674589639654
21,pmc,24,892.316,4.42246981774678
22,pmc,24,1126.592,4.516214195204693
23,pmc,24,1088.477,4.565521188391465
24,pmc,24,971.99,4.7017260276080775
25,pmc,24,993.778,4.40776747646504
26,pmc,24,1027.018,4.549372546907392
27,pmc,24,1134.165,4.581588862649927
28,pmc,24,982.363,4.673927159552374
29,pmc,24,965.846,4.4021906579715715
30,pmc,24,1027.544,4.496310459662091
31,pmc,24,1060.005,4.14964535782916
32,pmc,24,1012.487,3.9519753630725454
33,pmc,24,1088.785,4.08895209698315
34,pmc,24,939.285,4.080611530969206
35,pmc,24,968.559,3.731085907882717
36,pmc,24,1050.585,3.3937680210764607
37,pmc,24,972.824,3.132773633624997
38,pmc,24,1000.557,3.2393134194999984
39,pmc,24,957.058,1.497389518625
0,pmc,16,700.327,2.1055284669466503
1,pmc,16,718.147,2.6570754168931314
2,pmc,16,776.006,2.2970485449611884
3,pmc,16,845.413,2.528269565883716
4,pmc,16,867.007,2.499518602278625
5,pmc,16,968.424,2.8851959199552915
6,pmc,16,995.163,3.110188856228249
7,pmc,16,1236.372,3.462596453471199
8,pmc,16,1144.387,3.397919170777537
9,pmc,16,1388.301,3.943218785725996
10,pmc,16,1116.596,3.9816712086077937
11,pmc,16,1104.989,3.9951133609443534
12,pmc,16,1183.666,4.1152184785400765
13,pmc,16,1109.62,4.022622290333175
14,pmc,16,1104.988,3.6613317472649025
15,pmc,16,1024.241,3.9528168234211685
16,pmc,16,1086.219,3.924611560279171
17,pmc,16,1104.979,4.2377402760786405
18,pmc,16,1104.179,4.248794607284265
19,pmc,16,1019.214,4.19361525438819
20,pmc,16,1115.293,4.581746377893815
21,pmc,16,1098.712,4.248548037803886
22,pmc,16,1107.128,4.370958862290613
23,pmc,16,1061.367,4.1670629945709745
24,pmc,16,1133.619,4.267755388216479
25,pmc,16,1070.328,4.038410207645705
26,pmc,16,1117.052,3.6768852607978695
27,pmc,16,1063.38,3.6746008766434177
28,pmc,16,1132.75,3.7474054628403053
29,pmc,16,1184.71,3.616528053029792
30,pmc,16,1154.531,3.71167987760655
31,pmc,16,1112.707,3.762463772555195
32,pmc,16,1201.746,3.3748917389964577
33,pmc,16,1090.175,3.251425035426163
34,pmc,16,1177.87,3.3392992779003783
35,pmc,16,1125.841,3.1334359901705304
36,pmc,16,1088.366,2.9568951171926514
37,pmc,16,1246.191,2.8735824289885112
38,pmc,16,1104.858,2.957370701673072
39,pmc,16,1072.599,8.667251493974712
