timestep,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,seed,popsize
1,17,18,714,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,18,18,509,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,19,18,807,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,20,18,790,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,21,18,819,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,22,18,754,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,23,18,871,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,24,18,710,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,25,18,778,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,26,18,893,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,27,18,716,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,28,18,920,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
1,29,18,827,2.625,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,29.0,20,1000
2,0,17,843,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,12.0,20,1000
2,1,17,694,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,22.0,20,1000
2,2,17,362,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,3,17,338,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,4,17,429,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,5,17,622,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,6,17,497,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,7,17,447,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,8,17,423,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,9,17,349,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,10,17,344,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,11,17,339,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,12,17,339,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,13,17,442,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,14,17,442,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,15,17,447,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,16,17,352,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,17,17,355,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,18,17,430,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,19,17,531,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,20,17,482,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,21,17,359,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,22,17,354,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,23,17,354,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,24,17,360,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,25,17,554,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,26,17,475,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,27,17,458,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,28.0,20,1000
2,28,17,356,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
2,29,17,336,2.02083,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,27.0,20,1000
3,0,16,696,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,12.0,20,1000
3,1,16,325,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,22.0,20,1000
3,2,16,314,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,3,16,347,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,4,16,439,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,5,16,457,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,6,16,571,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,7,16,475,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,8,16,445,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,9,16,470,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,10,16,576,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,11,16,362,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,12,16,535,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,13,16,458,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,14,16,443,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,15,16,359,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,16,16,545,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,17,16,460,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,18,16,442,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,19,16,356,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,20,16,476,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,21,16,438,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,22,16,472,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,23,16,464,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,24,16,407,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,25,16,328,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,26,16,326,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,27,16,423,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,26.0,20,1000
3,28,16,336,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
3,29,16,412,2.24479,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,25.0,20,1000
4,0,15,928,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,12.0,20,1000
4,1,15,545,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,21.0,20,1000
4,2,15,372,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,3,15,345,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,4,15,450,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,5,15,528,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,6,15,912,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,7,15,700,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,8,15,991,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,9,15,562,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,10,15,418,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,11,15,352,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,12,15,566,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,13,15,391,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,14,15,337,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,15,15,413,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,16,15,345,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,17,15,434,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,18,15,546,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,19,15,443,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,20,15,437,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,21,15,455,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,22,15,542,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,23,15,710,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,24,15,389,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,25,15,475,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,26,15,450,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
4,27,15,335,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,28,15,482,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
4,29,15,437,2.76562,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,0,15,1216,1.81334,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,11.0,20,1000
5,1,15,602,1.81334,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,17.0,20,1000
5,2,15,387,1.81334,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,21.0,20,1000
5,3,15,341,1.81334,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,4,15,572,1.81334,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,5,14,374,1.87513,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,6,14,328,1.87513,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,7,14,406,1.87513,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,8,15,477,1.96959,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,9,15,545,1.96959,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,10,15,624,1.96959,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,22.0,20,1000
5,11,14,757,1.98629,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,22.0,20,1000
5,12,14,953,1.98629,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,13,14,876,1.98629,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,14,14,994,1.98629,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,15,15,939,2.04624,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,22.0,20,1000
5,16,15,747,2.04624,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,22.0,20,1000
5,17,15,717,2.08507,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,22.0,20,1000
5,18,15,703,2.08507,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,19,15,984,2.17082,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,20,15,1297,2.17082,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,23.0,20,1000
5,21,15,730,2.17082,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,22,15,824,2.17082,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,23,15,756,2.18221,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
