timestep,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize
0,0,4,14326,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,210.0
0,1,4,13636,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,197.0
0,2,4,13481,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,188.0
0,3,4,13624,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,180.0
0,4,4,13449,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,169.0
0,5,4,15632,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,159.0
0,6,4,16613,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,150.0
0,7,4,20146,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,144.0
0,8,18,14643,0.833333,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,137.0
0,9,18,13888,0.833333,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,130.0
0,10,18,14324,0.833333,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,122.0
0,11,18,14596,0.833333,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,114.0
0,12,18,15658,0.833333,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,104.0
0,13,18,42822,0.833333,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,99.0
0,14,18,15142,0.833333,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,92.0
0,15,17,15075,1.40625,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,81.0
0,16,18,15654,1.67245,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,63.0
0,17,18,12859,1.67245,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,39.0
0,18,18,20159,1.77662,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
0,19,19,8562,2.05143,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,28.0
0,20,18,9632,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
0,21,18,9551,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
0,22,18,9552,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
0,23,18,8844,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,31.0
0,24,18,9475,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,31.0
0,25,18,8937,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,32.0
0,26,18,9169,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,32.0
0,27,18,11957,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,32.0
0,28,18,10596,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,32.0
0,29,18,11127,2.26042,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,32.0
1,0,4,8169,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,210.0
1,1,4,6622,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,197.0
1,2,15,6423,0.224609,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,188.0
1,3,16,6206,0.269531,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,179.0
1,4,15,7922,0.898438,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,169.0
1,5,15,7315,0.898438,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,157.0
1,6,16,6498,1.44748,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,143.0
1,7,13,6346,1.60656,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,122.0
1,8,17,6622,2.19003,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,92.0
1,9,17,5583,2.31022,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,54.0
1,10,18,6533,2.5,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
1,11,17,8398,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,12,17,8261,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,13,17,8038,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,28.0
1,14,17,8178,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
1,15,18,8990,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,16,18,8328,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,17,18,8751,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,18,18,8234,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,19,18,8610,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,20,18,8432,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,21,18,8528,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,22,18,8011,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,23,18,8571,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,24,18,8300,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,25,18,8003,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,26,18,8157,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,27,18,8654,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,30.0
1,28,18,7967,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
1,29,18,7431,3.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
2,0,16,6513,1.5625E-302,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,210.0
2,1,13,5241,0.015625,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,197.0
2,2,13,4539,0.593586,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,189.0
2,3,13,4748,0.690638,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,178.0
2,4,15,4781,1.42986,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,164.0
2,5,15,4801,1.47059,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,144.0
